@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
123,18,5,35,3,9,?
53,4,3,4,1,0,?
95,9,7,20,0,9,?
140,22,5,45,4,9,?
389,94,25,56,1,1,?
55,5,3,18,0,0,?
346,77,27,77,15,3,?
74,3,5,42,0,0,?
80,5,5,16,0,0,?
64,6,4,32,0,0,?
247,35,24,143,0,0,?
75,14,4,27,0,0,?
201,30,14,113,0,0,?
256,12,14,222,0,0,?
1787,157,129,1134,5,10,?
648,92,39,317,4,0,?
73,4,1,14,0,4,?
105,20,6,78,0,0,?
33,0,1,2,0,0,?
74,3,3,13,0,0,?
51,4,2,4,0,0,?
290,31,23,167,3,9,?
74,4,3,18,0,2,?
150,19,12,75,2,0,?
312,34,17,201,0,0,?
50,5,2,15,0,0,?
175,12,12,96,0,0,?
111,9,9,26,0,0,?
81,0,7,35,0,0,?
32,4,2,5,0,0,?
126,22,11,80,0,0,?
102,9,5,65,0,0,?
148,13,12,34,0,2,?
63,8,5,26,0,0,?
57,4,3,15,0,0,?
73,2,4,19,2,3,?
421,54,46,68,1,15,?
87,10,6,11,0,0,?
45,4,2,5,0,0,?
177,18,11,44,0,13,?
82,3,7,27,0,0,?
45,2,1,4,0,0,?
77,6,7,36,0,0,?
57,3,3,17,0,0,?
40,1,2,7,0,0,?
62,5,4,8,0,1,?
203,26,15,101,0,0,?
89,11,7,31,0,0,?
239,34,16,86,0,0,?
65,12,5,39,0,0,?
164,18,17,14,0,0,?
507,99,51,174,2,3,?
306,44,39,65,0,2,?
178,24,16,33,0,1,?
178,29,15,61,0,0,?
140,19,13,23,0,2,?
127,18,10,35,0,0,?
96,7,7,24,0,0,?
216,25,21,81,0,0,?
102,19,6,41,0,0,?
92,12,7,18,0,0,?
55,3,3,12,0,0,?
126,17,8,25,0,0,?
110,18,8,57,0,0,?
205,22,13,45,0,8,?
202,30,18,73,0,1,?
415,104,35,233,5,2,?
203,45,22,63,0,0,?
71,11,5,8,0,0,?
268,59,27,99,2,1,?
72,6,5,4,0,0,?
143,15,10,46,0,0,?
134,15,10,29,0,0,?
162,10,8,74,0,0,?
748,142,80,409,0,3,?
465,94,48,159,2,1,?
263,29,29,63,0,0,?
212,34,22,42,0,0,?
89,17,7,35,0,2,?
240,61,21,76,0,0,?
135,28,11,55,0,0,?
92,17,6,39,0,0,?
151,9,16,93,0,0,?
826,109,101,392,0,0,?
86,15,6,21,0,0,?
170,40,11,75,0,0,?
141,26,11,59,0,0,?
89,13,6,22,0,0,?
46,2,2,6,0,0,?
654,142,60,352,0,0,?
503,110,28,150,0,32,?
101,16,8,21,0,0,?
123,23,10,25,1,1,?
84,7,5,25,0,0,?
94,10,6,16,1,0,?
62,6,3,19,0,0,?
169,30,14,42,0,1,?
244,42,26,106,0,0,?
221,21,9,43,0,6,?
54,4,4,12,0,0,?
277,41,23,115,0,7,?
140,37,19,44,0,0,?
140,20,9,22,6,0,?
64,14,3,20,0,0,?
58,7,4,15,0,0,?
43,2,3,0,0,0,?
8,0,0,0,0,0,?
384,2,30,55,0,14,?
335,2,23,33,0,4,?
165,6,10,51,0,14,?
91,0,1,0,0,0,?
58,0,3,1,0,0,?
71,8,0,0,0,0,?
85,0,0,0,0,0,?
1617,134,39,170,9,143,?
659,25,33,78,3,31,?
44,1,3,2,0,0,?
320,21,20,66,2,17,?
6,0,0,0,0,0,?
630,75,48,58,1,35,?
86,1,5,3,0,0,?
96,2,9,9,0,2,?
123,9,7,23,0,2,?
33,0,1,0,0,0,?
86,8,4,13,0,2,?
33,0,1,1,0,0,?
54,1,2,1,0,0,?
864,112,56,74,8,46,?
32,1,1,0,0,0,?
49,0,3,0,0,2,?
260,25,20,52,0,22,?
92,8,7,14,1,4,?
610,68,40,150,5,54,?
238,13,20,35,0,17,?
120,4,12,5,0,1,?
101,3,5,20,0,4,?
82,6,4,6,0,4,?
352,40,8,114,2,24,?
264,31,7,76,2,13,?
165,17,12,24,0,4,?
254,42,17,65,1,16,?
102,11,5,19,0,3,?
67,3,3,8,0,1,?
908,108,80,291,3,49,?
83,7,3,13,0,5,?
99,14,4,23,2,3,?
109,6,4,23,0,3,?
320,33,26,84,1,35,?
208,13,21,43,0,18,?
66,3,3,8,0,1,?
119,6,6,20,0,0,?
7,0,0,0,0,0,?
44,0,1,0,0,0,?
627,22,27,39,0,7,?
67,1,4,1,0,0,?
189,9,9,35,1,3,?
218,2,18,25,0,1,?
68,0,0,0,0,0,?
81,0,0,0,0,0,?
93,0,0,0,0,0,?
104,0,0,0,0,0,?
63,0,0,0,0,0,?
6,0,0,0,0,0,?
45,1,3,0,0,0,?
161,1,10,11,0,0,?
89,0,1,0,0,0,?
1037,81,50,201,2,31,?
290,5,11,13,0,2,?
345,10,27,78,0,15,?
47,1,3,0,0,0,?
93,3,3,8,0,1,?
49,0,2,0,0,0,?
64,1,3,0,0,0,?
170,0,1,0,0,0,?
92,0,1,0,0,0,?
122,2,5,5,0,1,?
11,0,0,0,0,0,?
40,0,1,0,0,0,?
109,0,2,0,0,0,?
32,1,1,0,0,0,?
101,10,5,59,0,0,?
227,16,6,100,0,0,?
76,9,6,34,0,0,?
417,37,15,92,0,15,?
37,2,3,0,0,0,?
26,1,1,0,0,0,?
21,0,0,0,0,0,?
53,3,4,16,0,0,?
61,3,2,19,0,0,?
443,21,27,141,4,31,?
57,4,6,1,0,0,?
108,9,6,18,0,7,?
60,6,2,23,0,0,?
171,29,14,43,0,4,?
197,44,11,71,0,0,?
112,10,7,18,0,8,?
211,28,17,67,0,0,?
89,15,6,34,0,0,?
49,5,4,8,0,1,?
33,0,1,0,0,0,?
64,0,0,0,0,0,?
308,29,15,48,0,15,?
265,17,9,39,0,10,?
282,31,7,99,1,19,?
76,5,4,13,1,3,?
55,10,3,15,0,0,?
