@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
81,15,3,33,5,0,?
28,1,2,1,0,0,?
134,8,9,32,0,2,?
91,11,2,40,1,0,?
87,6,2,33,0,0,?
115,4,15,33,0,0,?
122,6,14,34,0,0,?
48,4,4,8,0,0,?
36,5,2,8,0,0,?
36,5,2,8,0,0,?
59,7,2,57,0,0,?
481,112,24,587,0,0,?
235,37,16,202,0,0,?
239,37,12,262,0,2,?
196,29,14,135,0,0,?
79,10,5,66,0,0,?
23,0,2,10,0,0,?
87,16,2,86,0,0,?
22,2,2,8,0,0,?
111,10,15,55,0,0,?
138,13,12,72,0,0,?
227,17,33,101,0,0,?
165,4,14,37,0,2,?
202,26,22,104,0,0,?
28,3,2,10,0,0,?
115,17,5,106,0,1,?
16,0,2,1,0,0,?
132,20,6,81,0,0,?
64,9,3,18,0,0,?
62,1,9,20,0,0,?
190,37,15,151,0,0,?
75,8,6,33,0,0,?
104,10,5,59,0,0,?
27,1,2,1,0,0,?
92,11,2,42,2,0,?
80,11,4,64,0,0,?
241,19,20,111,0,2,?
86,7,7,27,0,0,?
34,1,1,2,0,0,?
98,5,12,30,0,0,?
13,1,1,2,0,0,?
34,5,1,14,0,0,?
26,4,2,4,0,0,?
62,4,5,24,0,0,?
171,25,18,62,0,0,?
52,3,5,12,0,0,?
97,11,6,53,0,0,?
276,27,22,275,0,0,?
201,21,19,191,0,0,?
103,17,3,49,0,0,?
95,14,4,24,0,0,?
112,11,5,37,0,0,?
42,1,2,2,0,0,?
148,21,4,150,0,0,?
53,6,2,3,0,0,?
216,17,12,13,0,9,?
293,10,22,17,0,6,?
148,1,11,14,0,4,?
49,0,4,0,0,0,?
97,0,7,0,0,0,?
395,18,25,62,0,16,?
414,21,26,75,0,18,?
71,1,4,3,0,1,?
61,3,3,1,0,1,?
62,3,3,1,0,1,?
138,5,8,23,0,3,?
192,11,13,42,0,7,?
260,31,15,64,1,11,?
263,20,18,64,0,6,?
313,24,20,80,0,13,?
56,0,4,0,0,0,?
62,0,6,0,0,0,?
78,0,9,0,0,0,?
59,0,5,0,0,0,?
67,3,3,5,0,0,?
248,15,22,25,0,7,?
166,11,14,11,0,5,?
192,13,16,13,0,7,?
176,9,13,7,0,3,?
178,12,10,32,0,1,?
30,0,0,0,0,0,?
64,3,3,3,0,2,?
71,3,4,2,0,0,?
224,3,18,23,0,1,?
87,4,5,4,0,0,?
133,8,8,18,0,2,?
83,10,3,11,0,2,?
152,4,7,27,0,5,?
490,43,14,107,1,26,?
69,20,0,0,0,0,?
60,5,2,8,0,2,?
461,32,18,101,0,28,?
49,2,2,2,0,0,?
309,15,24,28,0,4,?
224,13,14,12,0,12,?
52,3,2,0,0,0,?
43,0,2,0,0,0,?
31,0,1,0,0,0,?
901,54,58,236,0,35,?
51,2,3,1,0,0,?
818,54,48,239,0,35,?
59,0,6,0,0,0,?
51,1,1,3,0,2,?
146,7,8,19,0,7,?
110,1,9,2,0,0,?
58,4,2,0,0,0,?
141,1,9,17,0,6,?
33,0,1,1,0,0,?
27,0,1,0,0,0,?
351,10,30,49,1,2,?
43,0,1,0,0,0,?
47,2,2,3,0,1,?
17,0,0,0,0,0,?
45,0,1,1,0,0,?
55,0,0,0,0,0,?
88,0,7,0,0,0,?
34,0,0,0,0,0,?
54,1,3,1,0,0,?
32,0,1,0,0,0,?
125,0,8,0,0,0,?
190,5,14,43,0,4,?
414,11,27,85,0,26,?
170,1,16,21,0,1,?
